account,payee,amount,score,verdict,reasons,action,ts
ACC1001,schoolfees@upi,4726.17,17,SAFE,Known payee history,Allow • Monitor,2025-08-27 10:21:59
ACC1002,taxdept@upi,1582.56,37,SAFE,Amount within usual range,Allow • Monitor,2025-08-30 00:13:31
ACC1003,loanapprovalfast@upi,44464.97,82,FRAUD,Random digits in UPI handle • Potential phishing pattern • High transaction amount,HOLD & VERIFY KYC • Block payee • Call customer,2025-08-25 08:49:17
ACC1004,bonusrefund@upi,9975.12,43,SUSPICIOUS,New/unknown payee • Suspicious payee pattern,Manual review • OTP confirm • Call-back verification,2025-08-23 18:27:54
ACC1005,subscriptiondue@upi,18352.96,52,SUSPICIOUS,New/unknown payee • Invoice-like rounded amount,Manual review • OTP confirm • Call-back verification,2025-08-27 10:56:01
ACC1006,subscriptiondue@upi,5701.21,57,SUSPICIOUS,Suspicious payee pattern • Repeated payments detected,Manual review • OTP confirm • Call-back verification,2025-08-22 23:40:29
ACC1007,taxdept@upi,4933.01,28,SAFE,Regular bill payment,Allow • Monitor,2025-08-30 21:51:05
ACC1008,emergencyhelp@upi,9634.67,72,FRAUD,Suspicious payee token detected • High transaction amount • Urgency/threat language,HOLD & VERIFY KYC • Block payee • Call customer,2025-08-24 07:58:33
ACC1009,bonusrefund@upi,5402.38,45,SUSPICIOUS,Invoice-like rounded amount • Repeated payments detected,Manual review • OTP confirm • Call-back verification,2025-08-20 13:18:14
ACC1010,coworker@upi,1627.13,33,SAFE,Known payee history,Allow • Monitor,2025-08-23 02:46:06
ACC1011,hospitalpayment@upi,4761.84,39,SAFE,Business hours transaction,Allow • Monitor,2025-08-31 04:21:44
ACC1012,electricityboard@upi,2000.89,27,SAFE,Business hours transaction,Allow • Monitor,2025-08-28 07:05:37
ACC1013,servicepayment@upi,1533.48,46,SUSPICIOUS,New/unknown payee • Unusual time of transfer,Manual review • OTP confirm • Call-back verification,2025-08-24 00:02:33
ACC1014,helplinecenter@upi,1241.0,59,SUSPICIOUS,New/unknown payee • Unusual time of transfer,Manual review • OTP confirm • Call-back verification,2025-08-21 04:38:09
ACC1015,internetprovider@upi,176.23,34,SAFE,Business hours transaction,Allow • Monitor,2025-08-24 06:21:27
ACC1016,grocerymart@upi,1298.68,35,SAFE,Amount within usual range,Allow • Monitor,2025-08-26 05:55:41
ACC1017,hospitalpayment@upi,621.0,18,SAFE,Business hours transaction,Allow • Monitor,2025-08-28 00:57:58
ACC1018,hospitalpayment@upi,475.13,24,SAFE,Amount within usual range,Allow • Monitor,2025-08-21 20:28:29
ACC1019,paylaternotice@upi,13902.72,66,SUSPICIOUS,New/unknown payee • Repeated payments detected,Manual review • OTP confirm • Call-back verification,2025-08-28 08:50:27
ACC1020,offerclaim@upi,10954.81,62,SUSPICIOUS,Repeated payments detected • Unusual time of transfer,Manual review • OTP confirm • Call-back verification,2025-08-21 03:13:40
ACC1021,taxdept@upi,2616.06,23,SAFE,Regular bill payment,Allow • Monitor,2025-08-22 20:57:01
ACC1022,trustedshop@upi,3906.32,32,SAFE,Regular bill payment,Allow • Monitor,2025-08-26 07:10:19
ACC1023,coworker@upi,4270.51,39,SAFE,Regular bill payment,Allow • Monitor,2025-08-23 22:35:18
ACC1024,familymember@upi,2489.27,31,SAFE,Amount within usual range,Allow • Monitor,2025-08-20 09:01:01
ACC1025,hospitalpayment@upi,1008.54,23,SAFE,Business hours transaction,Allow • Monitor,2025-08-29 20:32:05
ACC1026,insurancepremium@upi,4940.79,38,SAFE,Regular bill payment,Allow • Monitor,2025-08-25 10:55:56
ACC1027,schoolfees@upi,2376.9,22,SAFE,Business hours transaction,Allow • Monitor,2025-08-25 15:26:27
